,REF_DATE,GEO,DGUID,Indicators,Products,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
0,2014,Canada,2016A11124,Total domestic supply,Total tourism expenditures,Dollars,81,millions,6,v1001801179,1.1.1,3654954.0,,,,1
1,2014,Canada,2016A11124,Total domestic supply,Total tourism products,Dollars,81,millions,6,v1001801180,1.1.2,212829.4,,,,1
2,2014,Canada,2016A11124,Total domestic supply,Total transportation,Dollars,81,millions,6,v1001801181,1.1.3,98108.0,,,,1
3,2014,Canada,2016A11124,Total domestic supply,Passenger air transport,Dollars,81,millions,6,v1001801182,1.1.4,19961.5,,,,1
4,2014,Canada,2016A11124,Total domestic supply,Passenger rail transport,Dollars,81,millions,6,v1001801183,1.1.5,309.6,,,,1
5,2014,Canada,2016A11124,Total domestic supply,Passenger water transport,Dollars,81,millions,6,v1001801184,1.1.6,762.2,,,,1
6,2014,Canada,2016A11124,Total domestic supply,"Interurban, charter and tour bus transport",Dollars,81,millions,6,v1001801185,1.1.7,2501.2,,,,1
7,2014,Canada,2016A11124,Total domestic supply,Taxis,Dollars,81,millions,6,v1001801186,1.1.8,2486.0,,,,1
8,2014,Canada,2016A11124,Total domestic supply,Vehicle rental,Dollars,81,millions,6,v1001801187,1.1.9,2964.7,,,,1
9,2014,Canada,2016A11124,Total domestic supply,Vehicle repairs and parts,Dollars,81,millions,6,v1001801188,1.1.10,24213.4,,,,1
10,2014,Canada,2016A11124,Total domestic supply,Vehicle fuel,Dollars,81,millions,6,v1001801189,1.1.11,44909.4,,,,1
11,2014,Canada,2016A11124,Total domestic supply,Total accommodation,Dollars,81,millions,6,v1001801190,1.1.12,13569.2,,,,1
12,2014,Canada,2016A11124,Total domestic supply,Hotels,Dollars,81,millions,6,v1001801191,1.1.13,10692.5,,,,1
13,2014,Canada,2016A11124,Total domestic supply,Motels,Dollars,81,millions,6,v1001801192,1.1.14,933.2,,,,1
14,2014,Canada,2016A11124,Total domestic supply,Camping,Dollars,81,millions,6,v1001801193,1.1.15,1087.9,,,,1
15,2014,Canada,2016A11124,Total domestic supply,Other accommodation,Dollars,81,millions,6,v1001801194,1.1.16,855.6,,,,1
